timestamp,reportingGroup,locationName,value,unit
26/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,51,08,kWh
27/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,65,71,kWh
28/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7500000000000002,kWh
29/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,14999999999999,kWh
30/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,60,57999999999999,kWh
01/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7600000000000002,kWh
02/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,34,79000000000001,kWh
03/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,75,88000000000001,kWh
04/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,85,5,kWh
05/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,37,25999999999999,kWh
06/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,35,040000000000006,kWh
07/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,54,769999999999996,kWh
08/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,66,05999999999999,kWh
09/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,849999999999994,kWh
10/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,57,49,kWh
11/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,71,38,kWh
12/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,15,069999999999997,kWh
13/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,12999999999998,kWh
14/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,18999999999999,kWh
15/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,91999999999999,kWh
16/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,44,94999999999999,kWh
17/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,04,kWh
18/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,56,98,kWh
19/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,18,73000000000001,kWh
20/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,88999999999999,kWh
21/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,44,68999999999999,kWh
22/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,01999999999999,kWh
23/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,35999999999999,kWh
24/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,56,629999999999995,kWh
25/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,56,32,kWh
26/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,18,82000000000001,kWh
27/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,34,120000000000005,kWh
28/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,81999999999998,kWh
29/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,37,970000000000006,kWh
30/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7200000000000002,kWh
31/05/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,089999999999996,kWh
01/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,64,50999999999999,kWh
02/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,45999999999999,kWh
03/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,12,kWh
04/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,739999999999995,kWh
05/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,52,88,kWh
06/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,849999999999994,kWh
07/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,67999999999999,kWh
08/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,629999999999995,kWh
09/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,20,47000000000001,kWh
10/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,94,kWh
11/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,44,77,kWh
12/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,690000000000005,kWh
13/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,38,82,kWh
14/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,91,kWh
15/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,56,97,kWh
16/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,26,200000000000006,kWh
17/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,849999999999994,kWh
18/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,04999999999998,kWh
19/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,52,069999999999986,kWh
20/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,54,910000000000004,kWh
21/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,81,76000000000002,kWh
22/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7200000000000002,kWh
23/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,28,04000000000001,kWh
24/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,949999999999996,kWh
25/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,15999999999999,kWh
26/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,42,00999999999999,kWh
27/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,31,930000000000007,kWh
28/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,50,54999999999999,kWh
29/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,51,34999999999999,kWh
30/06/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,9,789999999999997,kWh
01/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,699999999999996,kWh
02/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,08,kWh
03/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,55,6,kWh
04/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,59,29,kWh
05/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,00999999999999,kWh
06/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,67,41,kWh
07/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,29,980000000000008,kWh
08/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,52,349999999999994,kWh
09/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,52,91999999999998,kWh
10/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,57,94999999999999,kWh
11/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,849999999999994,kWh
12/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,57,61,kWh
